case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
39,OH,Yes (All),1963,Somewhat approve,(Dont know),Very,Very,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,No difference,No silver lining,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,(Dont know), ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Suburban,"Under $30,000",OH,Male,55-64,57,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.853752362,Cell
42,OR,Yes (All),1951,Somewhat approve,Disapprove,Very,Somewhat,Somewhat approve,Somewhat approve,(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),Somewhat,No difference,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,No,Republican Donald Trump,"(Vocational, technical school)",Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$30,000 to under $50,000",OR,Male,65+,69,"Republican,",CONSRV (very + somewhat conservative),no,West,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.76865966,Cell
43,TX,Yes (All),1945,Strongly approve,Disapprove,Somewhat,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Too much,Somewhat,No difference,No silver lining,No,Somewhat,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",TX,Male,65+,75,"Republican,",CONSRV (very + somewhat conservative),yes,South,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.675765192,Cell
44,PA,Yes (All),1950,Strongly approve,Disapprove,Somewhat,Not very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not very,Not at all,Not very,Not at all,Somewhat,Oppose,Favor,Just about right,Somewhat,More,Economic opportunities / Still have a job / Saving money,No,Somewhat,No,Republican Donald Trump,(Graduate degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$100,000 or more",PA,Male,65+,70,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.690617175,Cell
46,SC,Yes (All),1963,Strongly approve,Disapprove,Somewhat,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Overreacting,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not very,Somewhat,Not very,Not very,Not very,Favor,Favor,Just about right,Not much,No difference,Will be stronger in the future / Pandemic will be contained,No,Not very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$30,000 to under $50,000",SC,Male,55-64,57,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.853752362,Cell
47,AL,Yes (All),1962,Strongly approve,Disapprove,Very,Somewhat,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,Strongly approve,Strongly disapprove,(Neither),Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes",(Dont know),Very,Somewhat,Not very,Very,Very,Oppose,Favor,Too much,Somewhat,More,Will be stronger in the future / Pandemic will be contained,Yes,Somewhat,No,Republican Donald Trump,(Graduate degree),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Suburban,"$100,000 or more",AL,Male,55-64,58,"Republican,",CONSRV (very + somewhat conservative),no,South,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.767070362,Cell
48,CO,Yes (All),1962,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,Just about right,A great deal,More,Bringing people together / Sense of community,No,Somewhat,Yes,Or did things come up to keep you from voting?,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"Under $30,000",CO,Male,55-64,58,"Republican,",CONSRV (very + somewhat conservative),no,West,Close,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.853752362,Cell
49,IN,Yes (All),1982,Somewhat approve,(Dont know),Very,Somewhat,Somewhat approve,Somewhat approve,(Dont know),Somewhat approve,(Dont know),Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Somewhat,Somewhat,Very,Very,Favor,Favor,(Dont know),A great deal,More,Bringing people together / Sense of community,No,Not very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Suburban,"$100,000 or more",IN,Female,30-45,38,"Republican,",CONSRV (very + somewhat conservative),yes,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,1.100124961,Cell
50,GA,Yes (All),1948,Somewhat approve,Disapprove,Very,Somewhat,Somewhat approve,Somewhat approve,Strongly approve,Somewhat approve,Somewhat approve,Somewhat approve,(Dont know),Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes",(Dont know),Somewhat,Somewhat,Somewhat,(Dont know),Somewhat,Favor,Favor,(Dont know),Somewhat,More,Bringing people together / Sense of community,Yes,Somewhat,No,Republican Donald Trump,(2-year degree_community college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$50,000 to under $75,000",GA,Female,65+,72,"Republican,",CONSRV (very + somewhat conservative),no,South,Close,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.819811431,Cell
52,NH,Yes (All),1992,Somewhat approve,(Dont know),Very,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes",(Dont know),"Yes, describes",Very,Somewhat,Somewhat,Somewhat,Very,Favor,(Dont know),Just about right,A great deal,No difference,Bringing people together / Sense of community,No,Very,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Rural,"$30,000 to under $50,000",NH,Female,18-29,28,"Republican,",CONSRV (very + somewhat conservative),yes,Northeast,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,1.69720607,Cell
53,GA,Yes (All),1987,Strongly disapprove,(Dont know),Very,Not very,Somewhat approve,(Dont know),(Dont know),Somewhat approve,Somewhat approve,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",(Dont know),Not at all,Very,Very,(Dont know),Favor,Favor,Just about right,A great deal,No difference,Will be stronger in the future / Pandemic will be contained,No,Very,No,Democrat Hillary Clinton,(2-year degree_community college degree),Moderate, , ,Dont lean either way,Democrat,Strong, , ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,"African-American, black",No,Urban,"Under $30,000",GA,Female,30-45,33,Democrat,"MODERATE,",no,South,Trump 10%+,Moderate,Moderate,Strong Democrat,Strong Democarat,1.327288301,Cell
55,IL,Yes (All),2001,Somewhat approve,(Dont know),Very,Very,Strongly disapprove,Somewhat approve,(Dont know),(Dont know),(Dont know),Strongly approve,Right direction,Worst is yet to come,Not taking the pandemic seriously enough,(Mixed),"Yes, describes","No, does not describe","Yes, describes",(Dont know),Very,Very,Very,Very,Very,Oppose,(Dont know),(Dont know),A great deal,More,Will be stronger in the future / Pandemic will be contained,No,Very,Yes,(Wont say _ Refused),(High school graduate_GED_High school equivalency),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,White,(Dont know_refused),Suburban,"$75,000 to under $100,000",IL,Female,18-29,19,Independent + other,"MODERATE,",no,Midwest,Clinton 10%+,Moderate,Moderate,Independent,Independent,1.715605385,Cell
56,VA,Yes (All),1975,Strongly approve,(Dont know),Not very,Somewhat,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Right direction,Worst is over,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not at all,Not at all,Not at all,Not at all,Favor,Favor,Too little,Somewhat,Less,Will be stronger in the future / Pandemic will be contained,Yes,Not at all,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Very conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,Yes,Suburban,"Under $30,000",VA,Female,30-45,45,"Republican,",CONSRV (very + somewhat conservative),yes,South,Clinton 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.967172071,Cell
57,NC,Yes (All),1993,Strongly disapprove,Disapprove,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Somewhat disapprove,(Dont know),(Dont know),Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Very,Somewhat,Somewhat,Very,Favor,Favor,Just about right,A great deal,More,Bringing people together / Sense of community,No,Very,Yes,Democrat Hillary Clinton,(4-year degree_traditional college degree),Moderate, , ,Lean liberal,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Urban,"$30,000 to under $50,000",NC,Female,18-29,27,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,South,Clinton 10%+,Lean Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,1.528470975,Cell
58,AL,Yes (All),1979,Strongly approve,Approve,Very,Very,Strongly approve,Strongly approve,Somewhat approve,(Dont know),Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Very,Very,Very,Very,Favor,Oppose,(Dont know),A great deal,Less,Other,No,Very,Yes,Or did things come up to keep you from voting?,(2-year degree_community college degree),Moderate, , ,(Dont know),Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Rural,"$30,000 to under $50,000",AL,Female,30-45,41,"Republican,","MODERATE,",yes,South,Trump 10%+,Moderate,Moderate,Strong Republican,Strong Republican,1.088326476,Cell
59,NJ,Yes (All),1980,Strongly approve,Disapprove,Somewhat,Not very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Not at all,Not at all,Somewhat,Not very,Favor,Favor,Just about right,Somewhat,No difference,Bringing people together / Sense of community,No,Not very,Yes,Republican Donald Trump,"(Some college, no degree)",Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",NJ,Female,30-45,40,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Close,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,1.100124961,Cell
61,CA,Yes (All),1954,Strongly approve,Disapprove,Very,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Somewhat,Somewhat,Somewhat,Favor,Favor,Too little,Somewhat,Less,Learn valuable lessons / Chance for reflection,No,Somewhat,No,Republican Donald Trump,(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Urban,"Under $30,000",CA,Female,65+,66,"Republican,",CONSRV (very + somewhat conservative),no,West,Trump 10%+,Lean Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.746440717,Cell
62,WI,Yes (All),1980,Somewhat approve,(Dont know),Somewhat,Somewhat,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat disapprove,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","No, does not describe","No, does not describe",Somewhat,Not very,Very,Very,Very,Favor,Favor,Too little,A great deal,No difference,Spending more time with family,No,Somewhat,No,Republican Donald Trump,(High school graduate_GED_High school equivalency),(Dont know), , ,Dont lean either way,(Dont know), , ,Dont lean either way,"Yes, has a home telephone", ,All or almost all calls received on a cell phone,No,White,No,Rural,"$50,000 to under $75,000",WI,Female,30-45,40,Independent + other,"MODERATE,",no,Midwest,Trump 10%+,Moderate,Moderate,Independent,Independent,1.088326476,Cell
